"seed","game","game_date","attemptCount","completeCount","avgMoves","winPerc"
"qFbRXG7dLBtlJI8//LwyxTN5g1FM5gqi1B/zOMBimDw=","klondike-turn-1","2024-03-29",67457,50676,136,75
"PmqnlVYFvvnjcYXriX0SHwMyaTT9I8sWpZ1Lowf3B1o=","klondike-turn-1","2024-03-30",236,202,133,86
"BWxCtMLHedDJshH6rSMQr5VHuqs5IHY+7sCrXrdbyfo=","klondike-turn-1","2024-03-31",238,200,129,84
"hMFSiKZlIx8b1b1O0jy/e9A0pnJfkO628Q6C3nSG5f8=","klondike-turn-1","2024-04-01",267,220,135,82
"+82t9VctxPDWlw3F8mNaLUHJrRFmmZQ+4mFejaLjes4=","klondike-turn-1","2024-04-02",276,180,146,65
"scfg2vpFl4vPsnbrrgg6wPdI5jitaljDVvBzOlTCIoo=","klondike-turn-1","2024-04-03",301,21,212,7
"1SQH21He4m8y+jw2AQ/I/TeB8TgPNfZzBX8n0MjZ7iE=","klondike-turn-1","2024-04-04",257,74,158,29
"dEedM1UwSiVHQCxpBn7M/Q37ZplTVQuw9GXUJkyQ48o=","klondike-turn-1","2024-04-05",276,73,153,26
"cFwp4CizyWy2+nBzIBZC2rNBXWUHbRO8vNYJmYCKAvw=","klondike-turn-1","2024-04-06",251,96,155,38
"dynbtGhflGcFPMBV3W4J6lFP45P1sTdSlgCH3KKxWEI=","klondike-turn-1","2024-04-07",263,69,163,26
"+US/Uw+SHCYCRImC1wuMICzRBa9AM3zI1IgzFtoXUG4=","klondike-turn-1","2024-04-08",256,114,140,45
"hmPP7AjyHaj2sJsL3Nc8JmuRa6QDzL5EVj1FegXY0BE=","klondike-turn-1","2024-04-09",270,232,131,86
"LTY4D9bocdsfJ82qN+1AbXoA2CCURuZZcj4arvRijq4=","klondike-turn-1","2024-04-10",244,182,143,75
"h9WGxqfRA2hyEzODi/7ae4XdGBZm6h6GT69gsrZwLHA=","klondike-turn-1","2024-04-11",231,157,154,68
"YFfG2wMVbgEJs9uIvEoR2Mwm2rXOC9Yb9YTrExAWVT4=","klondike-turn-1","2024-04-12",244,206,134,84
"tQISkEnZ/u4IMUVlTmJ1obvKdRtTLlnz51a6a2+aLRc=","klondike-turn-1","2024-04-13",233,120,133,52
"6IKzjK/mBb03/WxhaUiix3QpQz49I6j2payvumyI7gM=","klondike-turn-1","2024-04-14",241,178,156,74
"l9HIurDw4rpXNQ2IbPSsKkURoSk1pBjypOx88SHnEYM=","klondike-turn-1","2024-04-15",242,48,184,20
"TPoG/pF06X6yClVh8ZF/xzK7lnpyh7k8PoAmzvy16gA=","klondike-turn-1","2024-04-16",240,106,129,44
"vT1eNtw2CkOJZ4GcZFpPCoUv923cmK1YHuZpU8SWN8M=","klondike-turn-1","2024-04-17",243,57,151,23
"EI2gcFctQTMV6wpgwbSmDEEFQvnp6F8swp9GTi18plo=","klondike-turn-1","2024-04-18",242,41,172,17
"UlF9jPpXew7PI+dlAB462YlgpXDxnuppsh5bEpjmAgE=","klondike-turn-1","2024-04-19",250,64,143,26
"3X3+Uh3axDsfrlxVQHBWStiwQLNKxxa50ti+S4ndEwA=","klondike-turn-1","2024-04-20",224,162,142,72
"vF8gkL8sW3Z8YRj1YFTuMbT+1N1mxWe+mHWm62LOFMw=","klondike-turn-1","2024-04-21",235,129,145,55
"/v95J2TZ6nz8lhISNQaYtJN7tfGM+vU8nujG+zBPBlw=","klondike-turn-1","2024-04-22",234,103,173,44
"Hs0H4+6plaE7YFz9YJmaXTxtmrpav5Sz2vs3Vc95jVU=","klondike-turn-1","2024-04-23",223,175,137,78
"cfoSW0GGNnm71pCzB3LJOGTjyO0tNJQPcPqFTKJYe1g=","klondike-turn-1","2024-04-24",222,193,152,87
"M/JbDhSwxfFK7wIcT9amkrK6GvVBVPSL58bW1fBpOEI=","klondike-turn-1","2024-04-25",220,149,148,68
"vAdzWypBzpSFMwqWkHIkcvtZ8fA+LsSmax9MXqEkDBo=","klondike-turn-1","2024-04-26",244,186,131,76
"L0zwmTysq4pvTa+u4CNB1pgT3q/lmYeQ7vgaugK6zco=","klondike-turn-1","2024-04-27",225,42,154,19
"F38TgCtlj1GqTItXlaSsUV21E7ptAgZysr4NUrQIS9U=","klondike-turn-1","2024-04-28",228,164,136,72
"20Boek5OUS8wga+eyKUQOCwiPsoq0co3e9/QMHwDs38=","klondike-turn-1","2024-04-29",226,194,128,86
"aijWM7wxznlAZoX/Dvtz7mqPtZdAN0J/GE29UJjdvTQ=","klondike-turn-1","2024-04-30",227,101,144,44
"7Jv+LQbNRrITtTAGpneq9niXii5saQV5kVxi6u042cI=","klondike-turn-1","2024-05-01",227,59,150,26
"HXq7y6Wm4SJDJNbRTG3uX0A2K1I0sD7y64HQMfnI+sk=","klondike-turn-1","2024-05-02",234,131,145,56
"/dVE/KXahB2l8xL+9Qxvm2OuJLDMenT0p0D/7lZyXw4=","klondike-turn-1","2024-05-03",245,173,146,71
"gEV5nY/TgGtLENcFxfRDycLpe15AMBC6Uh9SvrK+uPM=","klondike-turn-1","2024-05-04",222,44,139,20
"UW4GT0LlGF9H+HwJdaixxuF8eArzvObd3JObwtYMwBw=","klondike-turn-1","2024-05-05",228,175,122,77
"S7mUdGlcfZxHSbcQF5Wh4TVRibZXZCNxqohppqdYu8Q=","klondike-turn-1","2024-05-06",218,167,141,77
"MBv+5bhqYgpZBzjpueqS/KNIGRG7ekqnx27i3sK79wo=","klondike-turn-1","2024-05-07",221,182,131,82
"k1usjVAe0WJWdpYBB89+4igqiKbTUAXBV/tkIfyhI2M=","klondike-turn-1","2024-05-08",230,189,157,82
"buYDExY/4g8bAexdwYe9em1LQ7IhkhR7PtCfVCxdP4s=","klondike-turn-1","2024-05-09",227,154,138,68
"2vha4Km6TJ8rNS3USrZsGJE7ilrKWb/NeyZRyRZ5DMo=","klondike-turn-1","2024-05-10",228,48,169,21
